[11-Oct-2017 01:12:40 PRC] PHP Parse error:  syntax error, unexpected ''articlecat'' (T_CONSTANT_ENCAPSED_STRING), expecting variable (T_VARIABLE) in D:\phpStudy\WWW\mifeng\Admin\Lib\Model\ArticlecatModel.class.php on line 9
[11-Oct-2017 23:23:23 PRC] PHP Parse error:  syntax error, unexpected ')', expecting '(' in D:\phpStudy\WWW\mifeng\Cache\Runtime\Admin\Cache\ffda74836f77fd7b39f68eb01fb47883.php on line 23
[11-Oct-2017 23:29:56 PRC] PHP Parse error:  syntax error, unexpected '<', expecting variable (T_VARIABLE) or '$' in D:\phpStudy\WWW\mifeng\Cache\Runtime\Admin\Cache\ffda74836f77fd7b39f68eb01fb47883.php on line 23
[12-Oct-2017 22:06:38 Asia/Shanghai] PHP Parse error:  syntax error, unexpected ')', expecting variable (T_VARIABLE) in D:\phpStudy\WWW\mifeng\Common\Functions\common.php on line 32
[12-Oct-2017 22:06:39 Asia/Shanghai] PHP Parse error:  syntax error, unexpected ')', expecting variable (T_VARIABLE) in D:\phpStudy\WWW\mifeng\Common\Functions\common.php on line 32
[12-Oct-2017 22:23:17 Asia/Shanghai] PHP Parse error:  syntax error, unexpected '}' in D:\phpStudy\WWW\mifeng\Common\Functions\common.php on line 47
[12-Oct-2017 22:29:50 Asia/Shanghai] PHP Parse error:  syntax error, unexpected '{' in D:\phpStudy\WWW\mifeng\Common\Functions\common.php on line 41
[12-Oct-2017 22:29:50 Asia/Shanghai] PHP Parse error:  syntax error, unexpected '{' in D:\phpStudy\WWW\mifeng\Common\Functions\common.php on line 41
[12-Oct-2017 22:30:19 Asia/Shanghai] PHP Parse error:  syntax error, unexpected '{' in D:\phpStudy\WWW\mifeng\Common\Functions\common.php on line 41
[12-Oct-2017 22:30:19 Asia/Shanghai] PHP Parse error:  syntax error, unexpected '{' in D:\phpStudy\WWW\mifeng\Common\Functions\common.php on line 41
[13-Oct-2017 00:43:19 PRC] PHP Fatal error:  Cannot redeclare ArticleAction::index() in D:\phpStudy\WWW\mifeng\Admin\Lib\Action\ArticleAction.class.php on line 20
[13-Oct-2017 00:43:45 PRC] PHP Fatal error:  Cannot redeclare ArticleAction::index() in D:\phpStudy\WWW\mifeng\Admin\Lib\Action\ArticleAction.class.php on line 20
[13-Oct-2017 00:43:47 PRC] PHP Fatal error:  Cannot redeclare ArticleAction::index() in D:\phpStudy\WWW\mifeng\Admin\Lib\Action\ArticleAction.class.php on line 20
[13-Oct-2017 00:43:57 PRC] PHP Parse error:  syntax error, unexpected 'list' (T_LIST), expecting identifier (T_STRING) in D:\phpStudy\WWW\mifeng\Admin\Lib\Action\ArticleAction.class.php on line 20
[13-Oct-2017 00:43:58 PRC] PHP Parse error:  syntax error, unexpected 'list' (T_LIST), expecting identifier (T_STRING) in D:\phpStudy\WWW\mifeng\Admin\Lib\Action\ArticleAction.class.php on line 20
[13-Oct-2017 00:44:13 PRC] PHP Parse error:  syntax error, unexpected 'list' (T_LIST), expecting identifier (T_STRING) in D:\phpStudy\WWW\mifeng\Admin\Lib\Action\ArticleAction.class.php on line 20
[13-Oct-2017 00:44:14 PRC] PHP Parse error:  syntax error, unexpected 'list' (T_LIST), expecting identifier (T_STRING) in D:\phpStudy\WWW\mifeng\Admin\Lib\Action\ArticleAction.class.php on line 20
[13-Oct-2017 00:44:40 PRC] PHP Parse error:  syntax error, unexpected 'list' (T_LIST), expecting identifier (T_STRING) in D:\phpStudy\WWW\mifeng\Admin\Lib\Action\ArticleAction.class.php on line 20
[13-Oct-2017 00:44:41 PRC] PHP Parse error:  syntax error, unexpected 'list' (T_LIST), expecting identifier (T_STRING) in D:\phpStudy\WWW\mifeng\Admin\Lib\Action\ArticleAction.class.php on line 20
[13-Oct-2017 00:45:19 PRC] PHP Parse error:  syntax error, unexpected 'list' (T_LIST), expecting identifier (T_STRING) in D:\phpStudy\WWW\mifeng\Admin\Lib\Action\ArticleAction.class.php on line 20
[13-Oct-2017 00:45:19 PRC] PHP Parse error:  syntax error, unexpected 'list' (T_LIST), expecting identifier (T_STRING) in D:\phpStudy\WWW\mifeng\Admin\Lib\Action\ArticleAction.class.php on line 20
[13-Oct-2017 00:45:43 PRC] PHP Parse error:  syntax error, unexpected 'list' (T_LIST), expecting identifier (T_STRING) in D:\phpStudy\WWW\mifeng\Admin\Lib\Action\ArticleAction.class.php on line 20
[13-Oct-2017 00:45:44 PRC] PHP Parse error:  syntax error, unexpected 'list' (T_LIST), expecting identifier (T_STRING) in D:\phpStudy\WWW\mifeng\Admin\Lib\Action\ArticleAction.class.php on line 20
[13-Oct-2017 00:46:22 PRC] PHP Parse error:  syntax error, unexpected 'list' (T_LIST), expecting identifier (T_STRING) in D:\phpStudy\WWW\mifeng\Admin\Lib\Action\ArticleAction.class.php on line 20
[13-Oct-2017 00:46:24 PRC] PHP Parse error:  syntax error, unexpected 'list' (T_LIST), expecting identifier (T_STRING) in D:\phpStudy\WWW\mifeng\Admin\Lib\Action\ArticleAction.class.php on line 20
[13-Oct-2017 00:46:24 PRC] PHP Parse error:  syntax error, unexpected 'list' (T_LIST), expecting identifier (T_STRING) in D:\phpStudy\WWW\mifeng\Admin\Lib\Action\ArticleAction.class.php on line 20
[13-Oct-2017 00:46:25 PRC] PHP Parse error:  syntax error, unexpected 'list' (T_LIST), expecting identifier (T_STRING) in D:\phpStudy\WWW\mifeng\Admin\Lib\Action\ArticleAction.class.php on line 20
[13-Oct-2017 00:47:01 PRC] PHP Parse error:  syntax error, unexpected 'list' (T_LIST), expecting identifier (T_STRING) in D:\phpStudy\WWW\mifeng\Admin\Lib\Action\ArticleAction.class.php on line 20
[13-Oct-2017 00:52:52 PRC] PHP Parse error:  syntax error, unexpected 'select' (T_STRING) in D:\phpStudy\WWW\mifeng\Admin\Lib\Action\ArticleAction.class.php on line 21
[13-Oct-2017 00:54:36 PRC] PHP Fatal error:  Class 'RelationModel' not found in D:\phpStudy\WWW\mifeng\Admin\Lib\Model\ArticleModel.class.php on line 3
[13-Oct-2017 00:55:26 PRC] PHP Fatal error:  Class 'RelationModel' not found in D:\phpStudy\WWW\mifeng\Admin\Lib\Model\ArticleModel.class.php on line 3
[13-Oct-2017 00:57:26 PRC] PHP Fatal error:  Class 'RelationModel' not found in D:\phpStudy\WWW\mifeng\Admin\Lib\Model\ArticleModel.class.php on line 2
[13-Oct-2017 01:00:49 PRC] PHP Fatal error:  Class 'Think\Model\RelationModel' not found in D:\phpStudy\WWW\mifeng\Admin\Lib\Model\ArticleModel.class.php on line 4
[13-Oct-2017 01:03:26 PRC] PHP Fatal error:  Class 'Think\Model\RelationModel' not found in D:\phpStudy\WWW\mifeng\Admin\Lib\Model\ArticleModel.class.php on line 3
[13-Oct-2017 20:49:31 PRC] PHP Fatal error:  Call to a member function assign() on null in D:\phpStudy\WWW\mifeng\ThinkPHP\Lib\Core\Action.class.php on line 165
[13-Oct-2017 21:01:47 PRC] PHP Fatal error:  Class 'RelationModel' not found in D:\phpStudy\WWW\mifeng\Admin\Lib\Model\ArticleModel.class.php on line 2
[13-Oct-2017 21:01:49 PRC] PHP Fatal error:  Class 'RelationModel' not found in D:\phpStudy\WWW\mifeng\Admin\Lib\Model\ArticleModel.class.php on line 2
[13-Oct-2017 21:31:03 PRC] PHP Fatal error:  Class 'RelationModel' not found in D:\phpStudy\WWW\mifeng\Admin\Lib\Model\ArticleModel.class.php on line 2
[13-Oct-2017 21:31:04 PRC] PHP Fatal error:  Class 'RelationModel' not found in D:\phpStudy\WWW\mifeng\Admin\Lib\Model\ArticleModel.class.php on line 2
[13-Oct-2017 21:31:11 PRC] PHP Fatal error:  Class 'RelationModel' not found in D:\phpStudy\WWW\mifeng\Admin\Lib\Model\ArticleModel.class.php on line 2
[13-Oct-2017 23:57:02 PRC] PHP Parse error:  syntax error, unexpected ';', expecting ')' in D:\phpStudy\WWW\mifeng\Admin\Lib\Action\CommonAction.class.php on line 81
[14-Oct-2017 00:32:05 PRC] PHP Parse error:  syntax error, unexpected '{', expecting '(' in D:\phpStudy\WWW\mifeng\Admin\Lib\Action\ArticleAction.class.php on line 86
[14-Oct-2017 00:32:06 PRC] PHP Parse error:  syntax error, unexpected '{', expecting '(' in D:\phpStudy\WWW\mifeng\Admin\Lib\Action\ArticleAction.class.php on line 86
[14-Oct-2017 00:42:38 PRC] PHP Fatal error:  Cannot redeclare ArticleAction::del() in D:\phpStudy\WWW\mifeng\Admin\Lib\Action\ArticleAction.class.php on line 504
[14-Oct-2017 00:42:39 PRC] PHP Fatal error:  Cannot redeclare ArticleAction::del() in D:\phpStudy\WWW\mifeng\Admin\Lib\Action\ArticleAction.class.php on line 504
[14-Oct-2017 00:43:24 PRC] PHP Parse error:  syntax error, unexpected end of file, expecting function (T_FUNCTION) in D:\phpStudy\WWW\mifeng\Admin\Lib\Action\ArticleAction.class.php on line 721
[14-Oct-2017 00:48:00 PRC] PHP Parse error:  syntax error, unexpected ';' in D:\phpStudy\WWW\mifeng\Admin\Lib\Action\ArticleAction.class.php on line 140
[14-Oct-2017 00:48:41 PRC] PHP Fatal error:  Cannot use isset() on the result of a function call (you can use "null !== func()" instead) in D:\phpStudy\WWW\mifeng\Admin\Lib\Action\ArticleAction.class.php on line 141
[14-Oct-2017 00:49:09 PRC] PHP Fatal error:  Cannot use isset() on the result of a function call (you can use "null !== func()" instead) in D:\phpStudy\WWW\mifeng\Admin\Lib\Action\ArticleAction.class.php on line 142
[14-Oct-2017 00:54:38 PRC] PHP Fatal error:  Cannot use isset() on the result of a function call (you can use "null !== func()" instead) in D:\phpStudy\WWW\mifeng\Admin\Lib\Action\ArticleAction.class.php on line 140
[14-Oct-2017 00:55:01 PRC] PHP Fatal error:  Cannot use isset() on the result of a function call (you can use "null !== func()" instead) in D:\phpStudy\WWW\mifeng\Admin\Lib\Action\ArticleAction.class.php on line 140
[14-Oct-2017 00:55:03 PRC] PHP Fatal error:  Cannot use isset() on the result of a function call (you can use "null !== func()" instead) in D:\phpStudy\WWW\mifeng\Admin\Lib\Action\ArticleAction.class.php on line 140
[14-Oct-2017 00:59:33 PRC] PHP Parse error:  syntax error, unexpected end of file, expecting function (T_FUNCTION) in D:\phpStudy\WWW\mifeng\Admin\Lib\Action\ArticleAction.class.php on line 709
[14-Oct-2017 00:59:34 PRC] PHP Parse error:  syntax error, unexpected end of file, expecting function (T_FUNCTION) in D:\phpStudy\WWW\mifeng\Admin\Lib\Action\ArticleAction.class.php on line 709
[14-Oct-2017 00:59:35 PRC] PHP Parse error:  syntax error, unexpected end of file, expecting function (T_FUNCTION) in D:\phpStudy\WWW\mifeng\Admin\Lib\Action\ArticleAction.class.php on line 709
[14-Oct-2017 01:01:12 PRC] PHP Parse error:  syntax error, unexpected end of file, expecting function (T_FUNCTION) in D:\phpStudy\WWW\mifeng\Admin\Lib\Action\ArticleAction.class.php on line 185
[14-Oct-2017 01:01:17 PRC] PHP Parse error:  syntax error, unexpected end of file, expecting function (T_FUNCTION) in D:\phpStudy\WWW\mifeng\Admin\Lib\Action\ArticleAction.class.php on line 185
[15-Oct-2017 12:00:30 PRC] PHP Parse error:  syntax error, unexpected '}' in D:\phpStudy\WWW\mifeng\Home\Lib\Action\MemberAction.class.php on line 6
[15-Oct-2017 12:00:47 PRC] PHP Fatal error:  Call to undefined function check_login() in D:\phpStudy\WWW\mifeng\Home\Lib\Action\MemberAction.class.php on line 5
[15-Oct-2017 20:14:04 Asia/Shanghai] PHP Parse error:  syntax error, unexpected ';', expecting ')' in D:\phpStudy\WWW\mifeng\Home\Conf\config.php on line 16
[15-Oct-2017 20:14:04 Asia/Shanghai] PHP Parse error:  syntax error, unexpected ';', expecting ')' in D:\phpStudy\WWW\mifeng\Home\Conf\config.php on line 16
[16-Oct-2017 00:41:03 PRC] PHP Fatal error:  Call to a member function assign() on null in D:\phpStudy\WWW\mifeng\ThinkPHP\Lib\Core\Action.class.php on line 165
[16-Oct-2017 00:41:23 PRC] PHP Fatal error:  Call to a member function assign() on null in D:\phpStudy\WWW\mifeng\ThinkPHP\Lib\Core\Action.class.php on line 165
[16-Oct-2017 00:41:23 PRC] PHP Fatal error:  Call to a member function assign() on null in D:\phpStudy\WWW\mifeng\ThinkPHP\Lib\Core\Action.class.php on line 165
[16-Oct-2017 00:41:41 PRC] PHP Fatal error:  Call to undefined function isfun() in D:\phpStudy\WWW\mifeng\Admin\Lib\Action\IndexAction.class.php on line 35
[16-Oct-2017 00:41:41 PRC] PHP Fatal error:  Call to a member function assign() on null in D:\phpStudy\WWW\mifeng\ThinkPHP\Lib\Core\Action.class.php on line 165
[16-Oct-2017 00:41:44 PRC] PHP Fatal error:  Call to undefined function optionsDate() in D:\phpStudy\WWW\mifeng\Admin\Lib\Action\ArticlecatAction.class.php on line 30
[16-Oct-2017 00:41:45 PRC] PHP Fatal error:  Call to undefined function optionsDate() in D:\phpStudy\WWW\mifeng\Admin\Lib\Action\InformationAgeAction.class.php on line 30
[16-Oct-2017 00:41:46 PRC] PHP Fatal error:  Call to undefined function optionsDate() in D:\phpStudy\WWW\mifeng\Admin\Lib\Action\ArticlecatAction.class.php on line 30
[16-Oct-2017 00:42:26 PRC] PHP Fatal error:  Call to undefined function optionsDate() in D:\phpStudy\WWW\mifeng\Admin\Lib\Action\ArticlecatAction.class.php on line 30
[16-Oct-2017 00:42:32 PRC] PHP Fatal error:  Call to undefined function optionsDate() in D:\phpStudy\WWW\mifeng\Admin\Lib\Action\InformationAgeAction.class.php on line 30
[16-Oct-2017 00:42:33 PRC] PHP Fatal error:  Call to undefined function optionsDate() in D:\phpStudy\WWW\mifeng\Admin\Lib\Action\InformationAgeAction.class.php on line 30
[16-Oct-2017 00:42:34 PRC] PHP Fatal error:  Call to undefined function optionsDate() in D:\phpStudy\WWW\mifeng\Admin\Lib\Action\InformationAgeAction.class.php on line 30
[16-Oct-2017 00:42:34 PRC] PHP Fatal error:  Call to undefined function optionsDate() in D:\phpStudy\WWW\mifeng\Admin\Lib\Action\InformationAgeAction.class.php on line 30
[16-Oct-2017 00:42:35 PRC] PHP Fatal error:  Call to undefined function optionsDate() in D:\phpStudy\WWW\mifeng\Admin\Lib\Action\InformationAgeAction.class.php on line 30
[16-Oct-2017 00:42:35 PRC] PHP Fatal error:  Call to undefined function optionsDate() in D:\phpStudy\WWW\mifeng\Admin\Lib\Action\InformationAgeAction.class.php on line 30
[16-Oct-2017 00:42:36 PRC] PHP Fatal error:  Call to undefined function optionsDate() in D:\phpStudy\WWW\mifeng\Admin\Lib\Action\InformationAgeAction.class.php on line 30
[16-Oct-2017 00:42:38 PRC] PHP Fatal error:  Call to undefined function isfun() in D:\phpStudy\WWW\mifeng\Admin\Lib\Action\IndexAction.class.php on line 35
[16-Oct-2017 00:42:39 PRC] PHP Fatal error:  Call to undefined function optionsDate() in D:\phpStudy\WWW\mifeng\Admin\Lib\Action\ArticlecatAction.class.php on line 30
[16-Oct-2017 00:42:40 PRC] PHP Fatal error:  Call to undefined function optionsDate() in D:\phpStudy\WWW\mifeng\Admin\Lib\Action\InformationAgeAction.class.php on line 30
[16-Oct-2017 00:42:41 PRC] PHP Fatal error:  Call to undefined function optionsDate() in D:\phpStudy\WWW\mifeng\Admin\Lib\Action\InformationAgeAction.class.php on line 30
[16-Oct-2017 20:24:00 PRC] PHP Fatal error:  Call to a member function add() on array in D:\phpStudy\WWW\mifeng\Home\Lib\Action\MemberAction.class.php on line 44
[16-Oct-2017 23:20:10 PRC] PHP Parse error:  syntax error, unexpected 'list' (T_LIST), expecting identifier (T_STRING) in D:\phpStudy\WWW\mifeng\Home\Lib\Model\CollectCatModel.class.php on line 3
[16-Oct-2017 23:20:14 PRC] PHP Parse error:  syntax error, unexpected 'list' (T_LIST), expecting identifier (T_STRING) in D:\phpStudy\WWW\mifeng\Home\Lib\Model\CollectCatModel.class.php on line 3
[17-Oct-2017 00:01:12 PRC] PHP Parse error:  syntax error, unexpected 'list' (T_LIST), expecting identifier (T_STRING) in D:\phpStudy\WWW\mifeng\Home\Lib\Model\CollectCatModel.class.php on line 3
[17-Oct-2017 00:05:03 PRC] PHP Fatal error:  Call to a member function validate() on null in D:\phpStudy\WWW\mifeng\mifeng\Home\Lib\Action\MemberAction.class.php on line 99
[17-Oct-2017 00:05:20 PRC] PHP Fatal error:  Call to a member function data() on null in D:\phpStudy\WWW\mifeng\mifeng\Home\Lib\Action\MemberAction.class.php on line 108
[17-Oct-2017 00:08:57 PRC] PHP Fatal error:  Call to a member function where() on array in D:\phpStudy\WWW\mifeng\mifeng\Home\Lib\Model\InformationModel.class.php on line 25
[17-Oct-2017 00:10:05 PRC] PHP Fatal error:  Call to a member function where() on array in D:\phpStudy\WWW\mifeng\mifeng\Home\Lib\Model\InformationModel.class.php on line 25
[17-Oct-2017 00:41:11 PRC] PHP Parse error:  syntax error, unexpected 'var' (T_VAR) in D:\phpStudy\WWW\mifeng\mifeng\Home\Lib\Action\MemberAction.class.php on line 61
[18-Oct-2017 00:02:32 Asia/Shanghai] PHP Parse error:  syntax error, unexpected 'public' (T_PUBLIC) in D:\phpStudy\WWW\mifeng\mifeng\Common\Functions\common.php on line 134
[18-Oct-2017 00:02:32 Asia/Shanghai] PHP Parse error:  syntax error, unexpected 'public' (T_PUBLIC) in D:\phpStudy\WWW\mifeng\mifeng\Common\Functions\common.php on line 134
[18-Oct-2017 00:58:04 PRC] PHP Parse error:  syntax error, unexpected ')' in D:\phpStudy\WWW\mifeng\mifeng\Cache\Runtime\Admin\Cache\8c31ee4447fb98984913f6fb34110b64.php on line 110
[18-Oct-2017 00:58:53 PRC] PHP Parse error:  syntax error, unexpected ')' in D:\phpStudy\WWW\mifeng\mifeng\Cache\Runtime\Admin\Cache\8c31ee4447fb98984913f6fb34110b64.php on line 110
[18-Oct-2017 00:59:49 PRC] PHP Fatal error:  Call to a member function join() on null in D:\phpStudy\WWW\mifeng\mifeng\Admin\Lib\Model\InformationModel.class.php on line 52
[18-Oct-2017 01:00:03 PRC] PHP Parse error:  syntax error, unexpected ')' in D:\phpStudy\WWW\mifeng\mifeng\Cache\Runtime\Admin\Cache\8c31ee4447fb98984913f6fb34110b64.php on line 110
[18-Oct-2017 01:27:43 PRC] PHP Parse error:  syntax error, unexpected '}' in D:\phpStudy\WWW\mifeng\mifeng\Admin\Lib\Action\InformationAction.class.php on line 109
[18-Oct-2017 21:21:49 PRC] PHP Parse error:  syntax error, unexpected 'foreach' (T_FOREACH) in D:\phpStudy\WWW\mifeng\mifeng\Admin\Lib\Action\InformationAction.class.php on line 164
[18-Oct-2017 21:22:34 PRC] PHP Parse error:  syntax error, unexpected 'foreach' (T_FOREACH) in D:\phpStudy\WWW\mifeng\mifeng\Admin\Lib\Action\InformationAction.class.php on line 164
[18-Oct-2017 22:51:00 PRC] PHP Parse error:  syntax error, unexpected '}' in D:\phpStudy\WWW\mifeng\mifeng\Home\Lib\Action\MemberAction.class.php on line 75
[18-Oct-2017 23:13:31 PRC] PHP Parse error:  syntax error, unexpected ')' in D:\phpStudy\WWW\mifeng\mifeng\Cache\Runtime\Home\Cache\1e48e4fae9dc537c1f42816ecc659ee9.php on line 19
[18-Oct-2017 23:13:35 PRC] PHP Parse error:  syntax error, unexpected ')' in D:\phpStudy\WWW\mifeng\mifeng\Cache\Runtime\Home\Cache\1e48e4fae9dc537c1f42816ecc659ee9.php on line 19
[18-Oct-2017 23:27:02 PRC] PHP Parse error:  syntax error, unexpected ')' in D:\phpStudy\WWW\mifeng\mifeng\Cache\Runtime\Home\Cache\b1bf4265c10afa27853faeb2f64a896c.php on line 21
[21-Oct-2017 00:44:27 PRC] PHP Fatal error:  Call to a member function create() on null in D:\phpStudy\WWW\mifeng\mifeng\Home\Lib\Action\MemberAction.class.php on line 268
[21-Oct-2017 22:19:17 PRC] PHP Parse error:  syntax error, unexpected '}' in D:\phpStudy\WWW\mifeng\mifeng\Home\Lib\Action\ArticleAction.class.php on line 16
[21-Oct-2017 22:54:31 PRC] PHP Parse error:  syntax error, unexpected 'cat_id' (T_STRING) in D:\phpStudy\WWW\mifeng\mifeng\Cache\Runtime\Home\Cache\830945088b421e7a9afb1f657c47a4d3.php on line 21
[21-Oct-2017 22:57:51 PRC] PHP Parse error:  syntax error, unexpected '=', expecting ']' in D:\phpStudy\WWW\mifeng\mifeng\Home\Lib\Action\InformationAction.class.php on line 9
[22-Oct-2017 00:06:32 PRC] PHP Fatal error:  Call to a member function comment_count() on null in D:\phpStudy\WWW\mifeng\mifeng\Home\Lib\Action\InformationAction.class.php on line 26
[22-Oct-2017 00:07:16 PRC] PHP Fatal error:  Call to a member function comment_count() on null in D:\phpStudy\WWW\mifeng\mifeng\Home\Lib\Action\InformationAction.class.php on line 26
[22-Oct-2017 00:08:40 PRC] PHP Parse error:  syntax error, unexpected ')', expecting variable (T_VARIABLE) or '$' in D:\phpStudy\WWW\mifeng\mifeng\Cache\Runtime\Home\Cache\859967af94f971544fd8daae363fa5dc.php on line 56
[22-Oct-2017 09:51:00 PRC] PHP Fatal error:  Call to undefined function data() in D:\phpStudy\WWW\mifeng\mifeng\Cache\Runtime\Home\Cache\859967af94f971544fd8daae363fa5dc.php on line 62
[22-Oct-2017 09:51:14 PRC] PHP Fatal error:  Call to undefined function data() in D:\phpStudy\WWW\mifeng\mifeng\Cache\Runtime\Home\Cache\859967af94f971544fd8daae363fa5dc.php on line 62
[22-Oct-2017 09:52:34 PRC] PHP Fatal error:  Call to undefined function data() in D:\phpStudy\WWW\mifeng\mifeng\Cache\Runtime\Home\Cache\859967af94f971544fd8daae363fa5dc.php on line 62
[22-Oct-2017 09:54:28 PRC] PHP Fatal error:  Call to undefined function data() in D:\phpStudy\WWW\mifeng\mifeng\Cache\Runtime\Home\Cache\859967af94f971544fd8daae363fa5dc.php on line 62
[22-Oct-2017 10:28:23 PRC] PHP Fatal error:  Call to a member function create() on null in D:\phpStudy\WWW\mifeng\mifeng\Home\Lib\Action\InformationAction.class.php on line 87
[22-Oct-2017 13:55:51 PRC] PHP Parse error:  syntax error, unexpected '<' in D:\phpStudy\WWW\mifeng\mifeng\Cache\Runtime\Home\Cache\9ab878c24b3bb27676df22f5ebfdfbb2.php on line 49
[22-Oct-2017 13:56:19 PRC] PHP Parse error:  syntax error, unexpected '<' in D:\phpStudy\WWW\mifeng\mifeng\Cache\Runtime\Home\Cache\9ab878c24b3bb27676df22f5ebfdfbb2.php on line 49
[22-Oct-2017 13:56:57 PRC] PHP Parse error:  syntax error, unexpected '<' in D:\phpStudy\WWW\mifeng\mifeng\Cache\Runtime\Home\Cache\9ab878c24b3bb27676df22f5ebfdfbb2.php on line 49
[22-Oct-2017 13:58:09 PRC] PHP Parse error:  syntax error, unexpected ';' in D:\phpStudy\WWW\mifeng\mifeng\Cache\Runtime\Home\Cache\9ab878c24b3bb27676df22f5ebfdfbb2.php on line 49
[22-Oct-2017 13:58:28 PRC] PHP Parse error:  syntax error, unexpected '<' in D:\phpStudy\WWW\mifeng\mifeng\Cache\Runtime\Home\Cache\9ab878c24b3bb27676df22f5ebfdfbb2.php on line 49
[22-Oct-2017 14:20:47 PRC] PHP Parse error:  syntax error, unexpected 'if' (T_IF) in D:\phpStudy\WWW\mifeng\mifeng\Home\Lib\Action\InformationAction.class.php on line 40
[22-Oct-2017 15:12:48 PRC] PHP Parse error:  syntax error, unexpected '$this' (T_VARIABLE) in D:\phpStudy\WWW\mifeng\mifeng\Home\Lib\Action\MemberAction.class.php on line 113
[22-Oct-2017 15:13:11 PRC] PHP Parse error:  syntax error, unexpected '$this' (T_VARIABLE) in D:\phpStudy\WWW\mifeng\mifeng\Home\Lib\Action\MemberAction.class.php on line 114
[22-Oct-2017 15:13:21 PRC] PHP Fatal error:  Call to undefined function field() in D:\phpStudy\WWW\mifeng\mifeng\Home\Lib\Model\AttentionModel.class.php on line 39
[22-Oct-2017 15:22:24 PRC] PHP Fatal error:  Call to undefined function is_attention() in D:\phpStudy\WWW\mifeng\mifeng\Home\Lib\Model\AttentionModel.class.php on line 43
[22-Oct-2017 15:37:28 PRC] PHP Parse error:  syntax error, unexpected 'if' (T_IF) in D:\phpStudy\WWW\mifeng\mifeng\Home\Lib\Action\InformationAction.class.php on line 65
[22-Oct-2017 15:45:46 PRC] PHP Fatal error:  Call to undefined method Page::totalPages() in D:\phpStudy\WWW\mifeng\mifeng\Home\Lib\Action\InformationAction.class.php on line 64
[22-Oct-2017 15:46:10 PRC] PHP Fatal error:  Cannot access protected property Page::$totalPages in D:\phpStudy\WWW\mifeng\mifeng\Home\Lib\Action\InformationAction.class.php on line 64
[22-Oct-2017 15:46:20 PRC] PHP Fatal error:  Cannot use object of type Page as array in D:\phpStudy\WWW\mifeng\mifeng\Home\Lib\Action\InformationAction.class.php on line 64
[22-Oct-2017 15:47:23 PRC] PHP Fatal error:  Call to undefined method Page::totalPages() in D:\phpStudy\WWW\mifeng\mifeng\Home\Lib\Action\InformationAction.class.php on line 65
[22-Oct-2017 15:47:48 PRC] PHP Fatal error:  Cannot access protected property Page::$totalPages in D:\phpStudy\WWW\mifeng\mifeng\Home\Lib\Action\InformationAction.class.php on line 65
